nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,3,14,1,1,0.5,0.0198128857829763
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,1,0,0.657,0.708,0.436593213737806,1
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,2,1,0.51,0.48,0.53742984534375,0.480252535111587
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,2,4,0.72,0.84,0.354343693774204,0.261955928242684
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,2,7,1,1,0.5,0.130977964121342
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,2,0.3,0,0.817574401620406,0.28391225023806
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,5,0.3,0.6,0.182425523806356,0.256965901744098
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,8,1,1,0.5,0.205161952699765
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,11,1,1,0.5,0.0671401186022715
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,14,1,1,0.5,0.0196466946182013
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,1,0,0.657,0.708,0.436593213737806,1
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,2,1,0.51,0.48,0.53742984534375,0.480252535111587
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,2,4,0.72,0.84,0.354343693774204,0.261955928242684
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,2,7,1,1,0.5,0.130977964121342
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,3,2,0.3,0,0.817574401620406,0.28391225023806
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,3,5,0.3,0.6,0.182425523806356,0.256965901744098
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,3,8,1,1,0.5,0.205161952699765
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,3,11,1,1,0.5,0.0671401186022715
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,3,14,1,1,0.5,0.0196466946182013
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,1,0,0.657,0.708,0.436593213737806,1
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,2,1,0.51,0.48,0.53742984534375,0.480252535111587
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,2,4,0.72,0.84,0.354343693774204,0.261955928242684
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,2,7,1,1,0.5,0.130977964121342
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,3,2,0.3,0,0.817574401620406,0.28391225023806
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,3,5,0.3,0.6,0.182425523806356,0.256965901744098
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,3,8,1,1,0.5,0.205161952699765
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,3,11,1,1,0.5,0.0671401186022715
7,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,9,0,3,14,1,1,0.5,0.0196466946182013
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,1,0,0.378,0.378,0.5,1
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,2,1,0.18,0.18,0.5,0.55
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,2,4,0.51,0.48,0.53742984534375,0.3
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,2,7,0.72,0.84,0.354343693774204,0.15
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,3,2,0,0,0.5,0.3025
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,3,5,0.3,0,0.817574401620406,0.342351848963437
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,3,8,0.3,0.6,0.182425523806356,0.237704081634619
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,3,11,1,1,0.5,0.0802596185206159
8,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,10,0,3,14,1,1,0.5,0.0159454662198392
9,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.378,0.378,11,0,1,0,0.378,0.378,0.5,1
