nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate,optdiff,sumoptdiff
676,35,35,196,3.8,11.76,0.36,8,1,0.4,0.6,2,4,0.1,0.9,0.64,0.829,11,0,1,0,0.64,0.829,0.279891473199508,1,0.189,3.339
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,1,0,0.512,0.16,0.853209660198618,1,0.352,2.752
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,1,0,0.9,0.936,0.45512110762642,1,0.036,1.056
